Date/Time (LST),Longitude (x),Latitude (y),Temp (°C),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Weather
2014-10-31 09:00:00,-79.4,43.63,6.7,0.8,8.0,12.9,Rain
2014-10-31 10:00:00,-79.4,43.63,6.9,1.5,11.0,16.1,Rain
2014-10-31 11:00:00,-79.4,43.63,7.1,0.5,13.0,16.1,Rain
2014-10-31 12:00:00,-79.4,43.63,7.0,0.5,17.0,11.3,Rain
2014-10-31 13:00:00,-79.4,43.63,7.4,0.8,17.0,16.1,Rain
2014-10-31 14:00:00,-79.4,43.63,7.2,0.5,21.0,16.1,Rain
2014-10-31 15:00:00,-79.4,43.63,7.1,0.2,18.0,9.7,"Rain,Fog"
2014-10-31 16:00:00,-79.4,43.63,7.2,0.5,22.0,14.5,Rain
2014-10-31 17:00:00,-79.4,43.63,6.7,0.8,30.0,9.7,"Rain,Fog"
2014-10-31 18:00:00,-79.4,43.63,6.2,1.8,28.0,8.1,"Rain,Fog"
2014-10-31 19:00:00,-79.4,43.63,6.0,1.2,24.0,11.3,Rain
2014-10-31 20:00:00,-79.4,43.63,5.7,0.8,24.0,11.3,Rain
2014-10-31 21:00:00,-79.4,43.63,5.1,0.8,22.0,16.1,Rain
2014-10-31 22:00:00,-79.4,43.63,4.0,0.2,22.0,16.1,Rain
2014-10-31 23:00:00,-79.4,43.63,3.0,0.2,26.0,16.1,Rain
2014-11-01 00:00:00,-79.4,43.63,2.7,0.2,26.0,16.1,Rain
2014-11-01 01:00:00,-79.4,43.63,2.5,0.2,18.0,16.1,Rain
2014-11-01 03:00:00,-79.4,43.63,1.5,0.2,24.0,4.8,Snow
2014-11-01 04:00:00,-79.4,43.63,2.0,0.8,22.0,11.3,Rain
2014-11-01 05:00:00,-79.4,43.63,2.3,0.2,22.0,16.1,
2014-11-01 06:00:00,-79.4,43.63,2.3,0.2,24.0,16.1,Rain
2014-11-01 07:00:00,-79.4,43.63,2.2,0.2,21.0,16.1,Rain
2014-11-04 08:00:00,-79.4,43.63,10.3,0.2,13.0,16.1,
2014-11-04 17:00:00,-79.4,43.63,9.5,1.5,24.0,3.6,"Rain,Fog"
